SSC_NAME_2011,POA_CODE_2011
Darwin City,800
Alawa,810
Brinkin,810
Nakara,810
Casuarina (NT),810
Coconut Grove,810
Jingili,810
Lyons (NT),810
Muirhead,810
Lee Point,810
Millner,810
Moil,810
Nightcliff,810
Rapid Creek,810
Tiwi,810
Wagaman,810
Wanguri,810
Anula,812
Holmes,812
Karama,812
Leanyer,812
Marrara,812
Malak,812
Wulagi,812
Eaton (NT),820
East Point,820
Fannie Bay,820
The Gardens (NT),820
Larrakeyah,820
Ludmilla,820
The Narrows (NT),820
Parap,820
Stuart Park,820
Bayview (NT),820
Woolner,820
Winnellie,820
Coonawarra (NT),820
Hidden Valley (NT),822
East Arm,822
McMinns Lagoon,822
Bees Creek,822
Wickham (NT),822
Blackmore,822
Livingstone,822
Acacia Hills (NT),822
Lambells Lagoon,822
Kakadu,822
Belyuen,822
Wagait Beach,822
Marrakai,822
Rum Jungle,822
Nauiyu,822
Nemarluk,822
Nganmarriyanga,822
Peppimenarti,822
Daly River,822
Douglas-Daly,822
Wadeye,822
Thamarrurr,822
Tiwi Islands,822
Wurrumiyanga,822
Pirlangimpi,822
Milikapiti,822
Gunbalanya,822
West Arnhem,822
Maningrida,822
Warruwi,822
Milyakburra,822
Anindilyakwa,822
Angurugu,822
East Arnhem,822
Milingimbi,822
Galiwinku,822
Ramingining,822
Numbulwar,822
Numburindi,822
Berrimah,828
Knuckey Lagoon,828
Holtze,829
Pinelands (NT),829
Shoal Bay (NT),830
Driver,830
Marlow Lagoon,830
Durack (NT),830
Gray (NT),830
Moulden,830
Farrar,830
Yarrawonga (NT),830
Palmerston City,830
Woodroffe,830
Johnston,832
Bakewell,832
Gunn,832
Mitchell (NT),832
Rosebery (NT),832
Howard Springs,835
Virginia (NT),835
Humpty Doo,836
Herbert,836
Girraween (NT),836
Noonamah,837
Berry Springs,838
Dundee Beach,840
Darwin River,841
Batchelor,845
Adelaide River,846
Pine Creek (NT),847
Katherine,850
Katherine South,850
Katherine East,850
Cossack (NT),850
Emungalan,850
Lansdowne (NT),850
Tanami East,852
Barunga,852
Beswick,852
Nitmiluk,852
Flying Fox (NT),852
Mataranka,852
Jilkminggan,852
Birdum,852
McArthur,852
Limmen,852
Miniyeri,852
Wilton (NT),852
Ngukurr,852
Robinson River,852
Uralla (NT),852
Binjari,852
Venn,852
Buchanan (NT),852
Timber Creek,852
Baines,852
Pigeon Hole,852
Daguragu,852
Kalkarindji,852
Lajamanu,852
Gregory (NT),852
Yarralin,852
Victoria River,852
Tindal,853
Borroloola,854
Tennant Creek,860
Nicholson (NT),862
Elliott (NT),862
Calvert (NT),862
Stuart (NT),870
Braitling,870
Alice Springs,870
Ciccone,870
Araluen (NT),870
Sadadeen,870
East Side,870
Undoolya,870
Flynn (NT),870
Gillen,870
Larapinta (NT),870
Irlpme,870
The Gap (NT),870
Desert Springs,870
Mount Johns,870
Ilparpa,870
Connellan,870
White Gums,870
Ross (NT),870
Arumbera,870
Unclassified (SA),872
Ngaanyatjarra-Giles,872
Gibson Desert South,872
Gibson Desert North,872
Yulara,872
Mutitjulu,872
Kaltukatjara,872
Imanpa,872
Finke,872
Petermann,872
Ghan,872
Simpson (NT),872
Burt Plain,872
Hugh,872
Amoonguna,872
Santa Teresa,872
Titjikala,872
Hart (NT),872
Engawala,872
Ampilatwatja,872
Sandover,872
Anmatjere,872
Tanami (NT),872
Nyirripi,872
Kintore,872
Lake Mackay,872
Papunya,872
Haasts Bluff,872
Wallace Rockhole,872
Mount Liebig,872
Kunparrka,872
Namatjira,872
Hermannsburg,872
Areyonga,872
Yuendumu,872
Chilla Well,872
Willowra,872
Yuelamu,872
Laramba,872
Ti Tree,872
Wilora,872
Costello,872
Ali Curung,872
Canteen Creek,872
Wutunugurra,872
Davenport (NT),872
Tara (NT),872
Gapuwiyak,880
Yirrkala,880
Gunyangara,880
Nhulunbuy,880
Alyangula,885
Jabiru,886
Sydney,2000
Haymarket,2000
Dawes Point,2000
Millers Point,2000
Barangaroo,2000
Unclassified (NSW),2000
The Rocks (Sydney - NSW),2000
Camperdown (NSW),2006
Ultimo,2007
Darlington (Sydney - NSW),2008
Chippendale,2008
Pyrmont,2009
Darlinghurst,2010
Surry Hills,2010
Potts Point,2011
Elizabeth Bay,2011
Woolloomooloo,2011
Rushcutters Bay,2011
Alexandria,2015
Eveleigh,2015
Beaconsfield (NSW),2015
Redfern,2016
Waterloo (NSW),2017
Zetland,2017
Eastlakes,2018
Rosebery (NSW),2018
Banksmeadow,2019
Botany,2019
Botany Bay,2019
Mascot,2020
Centennial Park (NSW),2021
Paddington (NSW),2021
Moore Park,2021
Bondi Junction,2022
Queens Park (NSW),2022
Bellevue Hill,2023
Bronte,2024
Waverley (NSW),2024
Woollahra,2025
Tamarama,2026
Bondi,2026
Bondi Beach,2026
North Bondi,2026
Darling Point,2027
Edgecliff,2027
Point Piper,2027
Unclassified (NSW),2027
Double Bay,2028
Rose Bay (NSW),2029
Vaucluse,2030
Dover Heights,2030
Watsons Bay,2030
Clovelly,2031
Randwick,2031
Daceyville,2032
Kingsford (NSW),2032
Kensington (NSW),2033
South Coogee,2034
Coogee (NSW),2034
